name,email,phone,address,customer_code
Alpha Industries,contact@alpha.com,555-0101,101 Alpha Way,CUST001
Beta Solutions,info@beta.com,555-0102,202 Beta Blvd,CUST002
Gamma Global,sales@gamma.com,555-0103,303 Gamma Ln,CUST003
Delta Dynamics,support@delta.com,555-0104,404 Delta Dr,CUST004
Epsilon Enterprises,hello@epsilon.com,555-0105,505 Epsilon Ave,CUST005
Zeta Systems,admin@zeta.com,555-0106,606 Zeta St,CUST006
Eta Engineering,contact@eta.com,555-0107,707 Eta Rd,CUST007
Theta Technologies,info@theta.com,555-0108,808 Theta Pl,CUST008
Iota Innovations,sales@iota.com,555-0109,909 Iota Ct,CUST009
Kappa Corp,support@kappa.com,555-0110,1010 Kappa Sq,CUST010
Lambda Logistics,hello@lambda.com,555-0111,1111 Lambda Cir,CUST011
Mu Manufacturing,admin@mu.com,555-0112,1212 Mu Ter,CUST012
Nu Networks,contact@nu.com,555-0113,1313 Nu Pkwy,CUST013
Xi Xpress,info@xi.com,555-0114,1414 Xi Hwy,CUST014
Omicron Operations,sales@omicron.com,555-0115,1515 Omicron Way,CUST015
Pi Productions,support@pi.com,555-0116,1616 Pi Blvd,CUST016
Rho Resources,hello@rho.com,555-0117,1717 Rho Ln,CUST017
Sigma Services,admin@sigma.com,555-0118,1818 Sigma Dr,CUST018
Tau Traders,contact@tau.com,555-0119,1919 Tau Ave,CUST019
Upsilon Unlimited,info@upsilon.com,555-0120,2020 Upsilon St,CUST020
Phi Pharma,sales@phi.com,555-0121,2121 Phi Rd,CUST021
Chi Chemicals,support@chi.com,555-0122,2222 Chi Pl,CUST022
Psi Power,hello@psi.com,555-0123,2323 Psi Ct,CUST023
Omega Omega,admin@omega.com,555-0124,2424 Omega Sq,CUST024
Apex Architects,contact@apex.com,555-0125,2525 Apex Cir,CUST025
Summit Solutions,info@summit.com,555-0126,2626 Summit Ter,CUST026
Pinnacle Partners,sales@pinnacle.com,555-0127,2727 Pinnacle Pkwy,CUST027
Zenith Zone,support@zenith.com,555-0128,2828 Zenith Hwy,CUST028
Vertex Ventures,hello@vertex.com,555-0129,2929 Vertex Way,CUST029
Nadir Networks,admin@nadir.com,555-0130,3030 Nadir Blvd,CUST030
